zip,state
92127,CA
92020,CA
92114,CA
92336,CA
92883,CA
95824,CA
91910,CA
95660,CA
92069,CA
92557,CA
92116,CA
92105,CA
92407,CA
92570,CA
91915,CA
92071,CA
91945,CA
95624,CA
92114,CA
91942,CA
91913,CA
95832,CA
91951,CA
92557,CA
92020,CA
91913,CA
91950,CA
92115,CA
91950,CA
92111,CA
91906,CA
91752,CA
92114,CA
91963,CA
91950,CA
91913,CA
92154,CA
91963,CA
92021,CA
92105,CA
92022,CA
92586,CA
95814,CA
92021,CA
92078,CA
91910,CA
91912,CA
91977,CA
92021,CA
92337,CA
91911,CA
92503,CA
92154,CA
91710,CA
92084,CA
92020,CA
92122,CA
91945,CA
92105,CA
92102,CA
92211,CA
92101,CA
92173,CA
91912,CA
92503,CA
91911,CA
92120,CA
92173,CA
92054,CA
92030,CA
92102,CA
91950,CA
92173,CA
92324,CA
95820,CA
92071,CA
92316,CA
92407,CA
91979,CA
92021,CA
92069,CA
92104,CA
92101,CA
92027,CA
92376,CA
92104,CA
92878,CA
91950,CA
92236,CA
92236,CA
95832,CA
91912,CA
91911,CA
95660,CA
91710,CA
92335,CA
95610,CA
92115,CA
92054,CA
92071,CA
92020,CA
92124,CA
92102,CA
92111,CA
95834,CA
92139,CA
92126,CA
92105,CA
95816,CA
95632,CA
92128,CA
95864,CA
92308,CA
91950,CA
92563,CA
92114,CA
92373,CA
92019,CA
92878,CA
92335,CA
95812,CA
92154,CA
92069,CA
92114,CA
92160,CA
92112,CA
92301,CA
95817,CA
95824,CA
92057,CA
92561,CA
91977,CA
92104,CA
91910,CA
91978,CA
91950,CA
91912,CA
92027,CA
92154,CA
92335,CA
95829,CA
92105,CA
92105,CA
92021,CA
92022,CA
95823,CA
95821,CA
91932,CA
92020,CA
92335,CA
92113,CA
92102,CA
92154,CA
92234,CA
92407,CA
92126,CA
92102,CA
92236,CA
91915,CA
92058,CA
92019,CA
92115,CA
91911,CA
95823,CA
92311,CA
92019,CA
91911,CA
92154,CA
91762,CA
92131,CA
91914,CA
92020,CA
92025,CA
92020,CA
92117,CA
92019,CA
92040,CA
91933,CA
91786,CA
95820,CA
92105,CA
92345,CA
91977,CA
92088,CA
92058,CA
91913,CA
92154,CA
92168,CA
92020,CA
91910,CA
92057,CA
92019,CA
92019,CA
91913,CA
92021,CA
92020,CA
95825,CA
92019,CA
91932,CA
92111,CA
91941,CA
92108,CA
92404,CA
92103,CA
92020,CA
91910,CA
92139,CA
95826,CA
92114,CA
91950,CA
92022,CA
92028,CA
91932,CA
92122,CA
92509,CA
92102,CA
91950,CA
92236,CA
95816,CA
91946,CA
92404,CA
91945,CA
92173,CA
95841,CA
92115,CA
92114,CA
92083,CA
95842,CA
92103,CA
95823,CA
92115,CA
92115,CA
95833,CA
92105,CA
92057,CA
95820,CA
92021,CA
92154,CA
92142,CA
92509,CA
95842,CA
92277,CA
92571,CA
92105,CA
92102,CA
92591,CA
91912,CA
92114,CA
92407,CA
92123,CA
92584,CA
92113,CA
92139,CA
92113,CA
92054,CA
91730,CA
92123,CA
95822,CA
95835,CA
95757,CA
92113,CA
92040,CA
92019,CA
95608,CA
92114,CA
95823,CA
91945,CA
92154,CA
92113,CA
95815,CA
92173,CA
92126,CA
92407,CA
91914,CA
91762,CA
92128,CA
92154,CA
92101,CA
91977,CA
91910,CA
92154,CA
92376,CA
92028,CA
92201,CA
95662,CA
92021,CA
92139,CA
92024,CA
92114,CA
92114,CA
92120,CA
95833,CA
91905,CA
92139,CA
91913,CA
92345,CA
92083,CA
92058,CA
92154,CA
92154,CA
91946,CA
92173,CA
92057,CA
91910,CA
95838,CA
90262,CA
92111,CA
92028,CA
91912,CA
92115,CA
92102,CA
92114,CA
92020,CA
92083,CA
91913,CA
92114,CA
91950,CA
92054,CA
92131,CA
92113,CA
95812,CA
92154,CA
91978,CA
95660,CA
92083,CA
92110,CA
92019,CA
95818,CA
92071,CA
92057,CA
92069,CA
92029,CA
92102,CA
92101,CA
91913,CA
92082,CA
92174,CA
95758,CA
91911,CA
92102,CA
91977,CA
92539,CA
92411,CA
92501,CA
92113,CA
92150,CA
91786,CA
92373,CA
92115,CA
91910,CA
95838,CA
92028,CA
92084,CA
92120,CA
92115,CA
92324,CA
92571,CA
91913,CA
95843,CA
91945,CA
92116,CA
92069,CA
91941,CA
92571,CA
92223,CA
92021,CA
91942,CA
91977,CA
92107,CA
92201,CA
92021,CA
92025,CA
92139,CA
91913,CA
92058,CA
91944,CA
92129,CA
92084,CA
92051,CA
92113,CA
92114,CA
95838,CA
92014,CA
92154,CA
92027,CA
92545,CA
91910,CA
92105,CA
92879,CA
92056,CA
92113,CA
92345,CA
92105,CA
92021,CA
95833,CA
91946,CA
92114,CA
92102,CA
92336,CA
95829,CA
92116,CA
95660,CA
92553,CA
92551,CA
95826,CA
92054,CA
92057,CA
92395,CA
92021,CA
92101,CA
92022,CA
92114,CA
92054,CA
92021,CA
92101,CA
92040,CA
91950,CA
92127,CA
92126,CA
92021,CA
92503,CA
92019,CA
92203,CA
91910,CA
91935,CA
91911,CA
92021,CA
91910,CA
92025,CA
95818,CA
95838,CA
92028,CA
92507,CA
95828,CA
92324,CA
91932,CA
91946,CA
92374,CA
92021,CA
91730,CA
92024,CA
92128,CA
95828,CA
92104,CA
95660,CA
95825,CA
91910,CA
92024,CA
92021,CA
92064,CA
92113,CA
92021,CA
92120,CA
92020,CA
92020,CA
92139,CA
92021,CA
91945,CA
91917,CA
92021,CA
92083,CA
92054,CA
92102,CA
91941,CA
92562,CA
91977,CA
91913,CA
92065,CA
92019,CA
95842,CA
92585,CA
95838,CA
92020,CA
91915,CA
92084,CA
92113,CA
92553,CA
92117,CA
92009,CA
92240,CA
91950,CA
92154,CA
92277,CA
92025,CA
91963,CA
92173,CA
92113,CA
92404,CA
91977,CA
92112,CA
92582,CA
92022,CA
95832,CA
92154,CA
92084,CA
92113,CA
92019,CA
92592,CA
91978,CA
92105,CA
92019,CA
95822,CA
91730,CA
92882,CA
91761,CA
92024,CA
92111,CA
91710,CA
92105,CA
92105,CA
95823,CA
91710,CA
92202,CA
92543,CA
92123,CA
92065,CA
95632,CA
95820,CA
92019,CA
91977,CA
92113,CA
92274,CA
92106,CA
92123,CA
92113,CA
92234,CA
92040,CA
92078,CA
92543,CA
92154,CA
92110,CA
92083,CA
92154,CA
92046,CA
92113,CA
92025,CA
92054,CA
95621,CA
91910,CA
92173,CA
92120,CA
92113,CA
92115,CA
95838,CA
92173,CA
92108,CA
92105,CA
91932,CA
92880,CA
92020,CA
92026,CA
92394,CA
90066,CA
91402,CA
91963,CA
91911,CA
92056,CA
92551,CA
92240,CA
92071,CA
92054,CA
90044,CA
91344,CA
91207,CA
90002,CA
91733,CA
93536,CA
90255,CA
90057,CA
90301,CA
90605,CA
90230,CA
91205,CA
90007,CA
91342,CA
93536,CA
91331,CA
90005,CA
90260,CA
92110,CA
91606,CA
90650,CA
91352,CA
91304,CA
90301,CA
90059,CA
91016,CA
90006,CA
90062,CA
90003,CA
91342,CA
90063,CA
90018,CA
90001,CA
91607,CA
92113,CA
92078,CA
92054,CA
91768,CA
92113,CA
92113,CA
92105,CA
92126,CA
92113,CA
92553,CA
92102,CA
95824,CA
91764,CA
92084,CA
92584,CA
92056,CA
92126,CA
92021,CA
92084,CA
92113,CA
92064,CA
95758,CA
92028,CA
92069,CA
92022,CA
92174,CA
92117,CA
91911,CA
92102,CA
92336,CA
92174,CA
92113,CA
91950,CA
92111,CA
92114,CA
91950,CA
92054,CA
92115,CA
92025,CA
92026,CA
92065,CA
92102,CA
92028,CA
92054,CA
92027,CA
92105,CA
92115,CA
92324,CA
92064,CA
92069,CA
92011,CA
95838,CA
95670,CA
92139,CA
92027,CA
92027,CA
92025,CA
95829,CA
92056,CA
92025,CA
92154,CA
95828,CA
92054,CA
92083,CA
91905,CA
91764,CA
